Template A,Attribute A,Template B,Attribute B,Property A,Property B,Class A,Class B,Annotation,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_royalty, place_of_burial, Ficha_de_noble, lugar_de_entierro, dbo:restingPlace, dbo:placeOfBurial, http://dbpedia.org/ontology/Royalty, http://dbpedia.org/ontology/Noble, Wrong - should be the same, dbo:Person, dbo:Person, dbo:Place, dbo:Place, 0.8021, 1.1484, 0.0000, 0.0000, 667, 535, 766, 0, 0, 766, 766, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1
Infobox_settlement, subdivision_name2, Ficha_de_entidad_subnacional, imagen, dbo:isPartOf, dbo:picture, , http://dbpedia.org/ontology/AdministrativeRegion, , , , , , 0.9678, 1.0395, 0.0000, 0.0000, 684, 662, 711, 0, 0, 711, 711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_football_biography, clubs3, Ficha_de_deportista, equipos, dbo:team, dbo:formerTeam, , http://dbpedia.org/ontology/Athlete, Correct as it is now, , dbo:Athlete, dbo:SportsTeam, dbo:SportsTeam, 1.3294, 2.6627, 0.0000, 0.7240, 762, 1013, 2029, 0, 1469, 2029, 2029, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
Infobox_football_biography, currentclub, Ficha_de_deportista, equipos, dbo:team, dbo:formerTeam, , http://dbpedia.org/ontology/Athlete, Correct as it is now, , dbo:Athlete, dbo:SportsTeam, dbo:SportsTeam, 2.1759, 2.6627, 0.0000, 0.7240, 762, 1658, 2029, 0, 1469, 2029, 2029, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
Infobox_film, writer, Ficha_de_película, producción, dbo:writer, dbo:producer, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Work, dbo:Work, dbo:Person, dbo:Agent, 0.6982, 1.3018, 0.8328, 0.4586, 2578, 1800, 3356, 2795, 1539, 3356, 3356, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0
Infobox_settlement, subdivision_name1, Ficha_de_localidad_de_España, mapa_loc_1, dbo:isPartOf, dbo:province, , http://dbpedia.org/ontology/Municipality, , , dbo:Place, , dbo:Province, 1.1736, 1.2141, 0.0000, 0.0000, 3041, 3569, 3692, 0, 0, 3692, 3692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Infobox_company, location_city, Ficha_de_organización, sede, dbo:locationCity, dbo:headquarter, , http://dbpedia.org/ontology/Organisation, Correct as it is now, dbo:Organisation, dbo:Organisation, dbo:City, dbo:PopulatedPlace, 1.1521, 1.3455, 0.0000, 0.0012, 631, 727, 849, 0, 1, 849, 849, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0
Infobox_film, screenplay, Ficha_de_película, dirección, dbo:writer, dbo:director, http://dbpedia.org/ontology/Film, http://dbpedia.org/ontology/Film, Correct as it is now, dbo:Work, dbo:Film, dbo:Person, dbo:Person, 0.3382, 1.3056, 0.7266, 0.3309, 5023, 1699, 6558, 4765, 2170, 6558, 6558, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1
Infobox_football_biography, clubs1, Ficha_de_deportista, equipos, dbo:team, dbo:formerTeam, , http://dbpedia.org/ontology/Athlete, Correct as it is now, , dbo:Athlete, dbo:SportsTeam, dbo:SportsTeam, 1.3110, 2.6627, 0.0000, 0.7240, 762, 999, 2029, 0, 1469, 2029, 2029, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
Infobox_video_game, developer, Ficha_de_videojuego, distribuidora, dbo:developer, dbo:distributor, http://dbpedia.org/ontology/VideoGame, http://dbpedia.org/ontology/VideoGame, Correct as it is now, , , dbo:Agent, dbo:Organisation, 0.4464, 1.3733, 0.1139, 0.5562, 2379, 1062, 3267, 372, 1817, 3267, 3267, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
